"net.c","V2","V5","V7"
0.0382531299570482,0.0613813112005661,0.0076893016222211,0.0210153870982832
0.0575266143266464,0.105710325250642,0.0450124980429109,0.0248700839722029
0.0960735830658429,0.184731611165995,0.00536921103401213,0.0210153870982832
0.115347067435441,0.213641837720392,0.00921921643346047,0.0232306514600036
0.134620551805039,0.256043503333508,0.0461557310958733,0.0210153870982832
0.153894036174638,0.292663123635745,0.00805917113935598,0.0210153870982832
0.230987973653031,0.444923650155571,0.0172655595849102,0.0210153870982832
0.250261458022629,0.485397967331727,0.0232809828731114,0.0210153870982832
0.269534942392227,0.525872284507884,0.0246078897458365,0.0210153870982832
0.327355395501022,0.645367887599393,0.0432724301113909,0.0210153870982832
0.462269786088209,0.917124017210728,0.055721901702313,0.0210153870982832
0.481543270457808,0.955670985949924,3.97275852977419e-05,0.0210153870982832
0.500816754827406,1,0.00779017512689425,0.0210153870982832
0.0768000986962447,0.142329945552879,0.0117376915789326,0.0210153870982832
0.0960735830658429,0.178949565855115,0.0494341199688404,0.0210153870982832
